&	and (conj. & adv.)
luueliche	loveli (adj.)
luuen	love (n.1)
luuest	loven (v.1)
luuiæn	loven (v.2)
luuie	loven (v.1)
luuie	loven (v.2)
luuieğ	loven (v.1)
luuieğ	loven (v.2)
luuien	liven (v.1)
luuien	loven (v.1)
luuien	loven (v.2)
ma	mo (n.)
Macedonie	Macedone (adj. & n.)
machen	meche (n.)
machunes	machine (n.)
machunnes	machine (n.)
Madan	Madan (n.)
mağemes	madmes (n. pl.)
madenen	maiden (n.)
mağmas	madmes (n. pl.)
madmes	madmes (n. pl.)
mağmes	madmes (n. pl.)
Madoc	Madoc (n.)
mæ	man (pron. indef.)
mæche	meche (n.)
mæğe	meth(e (n.)
ma?e	mouen (v.3)
mæ?en	mouen (v.3)
mæ?es	mei (n.)
mæ?es	mouen (v.3)
ma?en	moue (n.1)
ma?en	mouen (v.3)
mæh	mi3en (v.)
mæhte	might (n.)
mæhte	mouen (v.3)
mæhten	might (n.)
mæhten	mouen (v.3)
mæhti	mighti (adj.)
mæi	mei (n.)
mæi	mouen (v.3)
mæide	maid(e (n. & adj.)
mæiden	maiden (n.)
mæidene	maiden (n.)
mæidenes	maiden (n.)
mæidenne	maiden (n.)
mæie	mei (n.)
mæie	mouen (v.3)
mæies	mei (n.)
mæin	main (adj.)
mæin	main (n.)
mæinde	menen (v.1)
mæine	main (n.)
mæinen	menen (v.1)
mæingde	mengen (v.)
mæl	mele (n.1)
Mælga	Melga (n.)
Mælgam	Melga (n.)
mænde	menen (v.2)
mænden	menen (v.2)
mæne	main (n.)
mænen	menen (v.2)
mængen	mengen (v.)
Mæptisas	Maeptisas (n.)
mær	mere (n.3)
Mærcene	Merchene laue (n. & phr.)
Mærcie	Marcie (n.)
mærcoden	marken (v.2)
mærde	merren (v.)
mære	mer(e (adj.1)
mære	mere (n.2)
mære	mere (n.3)
mære	mor(e (adj. comp.)
mær?en	morwe (n.)
mær?eue	morwe-yeve (n.)
mæren	mer(e (adj.1)
mæren	mere (n.2)
mæren	merren (v.)
Mærgadud	Margadud (n.)
mærken	mark(e (n.1)
mærkes	mark(e (n.1)
mærliche	merliche (adv.)
Mærlin	Merlin (n.)
Mærlines	Merlin (n.)
Mærling	Merlin (n.)
Mærlinges	Merlin (n.)
Mærwales	Merwal (n.)
mæsse	messe (n.1)
mæst	mast (n.1)
mæst	mast (n.2)
mæst	most (adj. sup. & n.)
mæst	most (adv. sup.)
mæste	most (adj. sup. & n.)
mæsten	most (adj. sup. & n.)
mæte	mete (n.1)
mæte-cun	mete-kin (n.)
mæwen	mouen (v.3)
Mæximien	Maximian (n.)
Magan	Magan (n.)
Maglaune	Maglaunus (n.)
Maglaunus	Maglaunus (n.)
mah	mah (adj.)
Mahimet	Makomet(e (n.)
mahmes	madmes (n. pl.)
maht	mouen (v.3)
mahte	might (n.)
mahte	mouen (v.3)
mahten	might (n.)
mahten	mouen (v.3)
mahum	Mahoun (n.)
mahun	Mahoun (n.)
Mahune	Mahoun (n.)
mai	mouen (v.3)
maide	maid(e (n. & adj.)
maide-child	maide-child (n.)
maiden	maiden (n.)
Maidene	maiden (n.)
maidenen	maiden (n.)
maidenes	maiden (n.)
maie	mouen (v.3)
Mai?e	Mai (n.2)
main	main (n.)
Maine	main (n.)
Maine	maine (n.)
mainen	main (n.)
mainen	menen (v.2)
maines	main (n.)
makde	maken (v.1)
make	maken (v.1)
makeğ	maken (v.1)
makeda	maken (v.1)
makede	maken (v.1)
makeden	maken (v.1)
make?e	maken (v.1)
make?en	maken (v.1)
maken	maken (v.1)
makest	maken (v.1)
makian	maken (v.1)
makie	maken (v.1)
makieğ	maken (v.1)
makien	maken (v.1)
makiene	maken (v.1)
makiet	maken (v.1)
makode	maken (v.1)
male	mal(e (n.2)
Malgan	Melga (n.)
Malgod	Malgod (n.)
Malgus	Malgus (n.)
Malin	Malin (n.)
Maluan	Malvan (n.)
Maluerne	Malvern (n.)
Maluerus	Malverus (n.)
Malure	Malure (n.)
Mamilon	Mamilo (n.)
man	man (n.)
mancunne	man-kin (n.)
Maneie	Man-eie (n.)
mani	mani (adj. & n.)
manne	man (n.)
mannen	man (n.)
mannes	man (n.)
Mans	Le Mans (n.)
manscipe	manship(e (n.)
man-swore	mon-sware (n.)
mantel	mantel (n.)
mantle	mantel (n.)
Marcchisce	Marcchisce (adj.)
marce	mark(e (n.1)
Marcel	Marcel (n.)
Marcele	Marcel (n.)
Marces	Marcus (n.)
Marciane	Marcien (adj.2)
Marcie	Marcie (n.)
mare	mor(e (adj. comp.)
mar?en	morwe (n.)
maren	mer(e (adj.1)
maren	mor(e (adj. comp.)
Margadud	Margadud (n.)
Margan	Margan (n.)
Margane	Margan (n.)
Margoitt	Margoitt (n.)
Marie	Mari(e (n.)
Marin	Marin (n.)
mark	mark(e (n.2)
Marke	mark(e (n.1)
markede	marken (v.2)
marken	mark(e (n.1)
Marlin	Merlin (n.)
Marline	Merlin (n.)
Marlines	Merlin (n.)
Marling	Merlin (n.)
marme	marme (n.)
marmestan	marme-stan (n.)
marme-stane	marme-stan (n.)
marmon	marme (n.)
martir	martir(e (n.)
martirdom	martirdom (n.)
martrede	martiren (v.)
marwe	morwe (n.)
masse	messe (n.1)
masse-preostes;;ne	
mast	most (adj. sup. & n.)
mastes	mast (n.1)
maumet	Makomet(e (n.)
Mauric	Maurice (n.)
Maurich	Maurice (n.)
Maurike	Maurice (n.)
Maurin	Maurin (n.)
Mauritane	Mauritania (n.)
Maurius	Maurus (n.)
Maurus	Maurus (n.)
Mavric	Maurice (n.)
mawe	moue (n.1)
mawen	mouen (v.3)
Maxenz	Maxence (n.)
Maxenze	Maxence (n.)
Maximiæn	Maximian (n.)
Maximian	Maximian (n.)
Maximiane	Maximian (n.)
Maximien	Maximian (n.)
Maximiene	Maximian (n.)
me	man (pron. indef.)
me	me (pron.1)
me	me (pron.2)
meæst	mast (n.2)
mechen	meche (n.)
meda	mede (n.4)
mede	med(e (n.1)
mede	Mede (n.3)
mede	mede (n.4)
meğegie	methen (v.)
Meğelan	Methelan (n.)
medewan	medwe (n.)
medewe	medwe (n.)
medewen	medwe (n.)
Medewes	medwe (n.)
Medie	Media (n.)
meduwen	medwe (n.)
mehten	might (n.)
mei	mouen (v.3)
meiden	maiden (n.)
meies	mei (n.)
meinde	mengen (v.)
Melaeoues	Melou (n.)
Melan	Milan (n.)
mele	mele (n.1)
Meleou	Melou (n.)
Melga	Melga (n.)
Melgan	Melga (n.)
Membricius	Membricius (n.)
Membriz	Membriz (n.)
men	man (n.)
Menbriz	Membriz (n.)
mende	menen (v.2)
menden	menen (v.2)
Menelaus	Menelaus (n.)
menen	menen (v.2)
Meneue	Menevia (n.)
mengde	mengen (v.)
mengden	mengen (v.)
menge	mengen (v.)
mengen	mengen (v.)
Meniue	Menevia (n.)
mennen	man (n.)
mensca	mensk(e (n.)
mensce	mensk(e (n.)
menske	mensk(e (n.)
Meodras	Meodras (n.)
meowen	mouen (v.1)
Merchene	Merchene laue (n. & phr.)
Mercurius	Mercury (n.)
merden	merren (v.)
mere	mer(e (adj.1)
mere	mere (n.2)
mereminnen	mer(e-min (n.)
meren	mer(e (adj.1)
Merian	merian (n.)
Merlin	Merlin (n.)
Merlines	Merlin (n.)
Merling	Merlin (n.)
merminnen	mer(e-min (n.)
mern	mer(e (adj.1)
mest	most (adj. sup. & n.)
mest	most (adv. sup.)
meste	most (adj. sup. & n.)
mesten	most (adj. sup. & n.)
mesten-dal	most-del (n.)
mete	mete (n.1)
mete	meten (v.4)
mete-burdes	mete-bord (n.)
mete-custi	mete-custi (adj.)
Metel	Metel (n.)
metes	mete (n.1)
Methahel	Methahel (n.)
metsunge	metsunge (ger.)
mi	min (pron.)
michel	Mighel (n.)
michel	muchel (adj.)
michelene	muchel (adj.)
michelere	muchel (adj.)
mid	mid (prep.1)
middelærd	middel-erd (n.)
middel-ærde	middel-erd (n.)
middel-ærdes	middel-erd (n.)
middel-eærdes	middel-erd (n.)
middel-niht	middel-night (n.)
Middel-sæx	Middlesex (n.)
Middel-sæxe	Middlesex (n.)
Middel-sax	Middlesex (n.)
middenerde	midden-erd (n.)
midder-niht	middel-night (n.)
middernihte	mid-night (n.)
mide	mid (adv.1)
midelarde	middel-erd (n.)
midewinteres	mid-winter (n.)
mid-festen	Mede-fest (n.)
midle	middel (n.)
midlest	middel (adj.)
midleste	middel (adj.)
mid-niht	mid-night (n.)
mid-nihte	mid-night (n.)
miğte	mouen (v.3)
mih	mid (prep.1)
Mihæles	Mighel (n.)
Mihhæles	Mighel (n.)
miht	mouen (v.3)
mihte	mouen (v.3)
mihten	might (n.)
mihten	mouen (v.3)
mihtes	mouen (v.3)
mihtest	mouen (v.3)
mihti	mighti (adj.)
mihtte	mouen (v.3)
milc	milk (n.)
milce	milce (n.)
milcea	milce (n.)
milcne	milce (n.)
milc-whit	milk-white (adj.)
Mildbur?e	Mildburg (n.)
mildce	milce (n.)
milde	milde (adj.)
mildeliche	mildeli (adj.)
mildeliche	mildeli (adv.)
milde-liche	mildeli (adv.)
mildelichen	mildeli (adj.)
mildelichen	mildeli (adv.)
milden	milde (adj.)
mildere	milde (adj.)
milde-scipe	mildeshipe (n.)
mild-heorte	mild-heorte (adj.)
mildliche	mildeli (adj.)
mildliche	mildeli (adv.)
mildze	milce (n.)
mile	mile (n.1)
milen	mile (n.1)
mils	milce (n.)
milzce	milce (n.)
milze	milce (n.)
min	min (pron.)
Mine	min (pron.)
minen	min (pron.)
Minerue	Minerve (n.)
mines	min (pron.)
minne	min (pron.)
minte	minten (v.)
mire	min (pron.)
misbode	misbode (n.)
misdede	misdon (v.)
misdeden	misdede (n.)
mi-self	mi-self (pron.)
miseolf	mi-self (pron.)
mi-seolf	mi-self (pron.)
mis-ferde	misfare(n (v.)
misliche	mislich(e (adv.2)
mis-ræden	misreden (v.)
miste	mouen (v.3)
mith	mouen (v.3)
mithte	mouen (v.3)
mitte	might (n.)
mochel	muchel (adj.)
mochel	muchel (adv.)
mochele	muchel (adj.)
mocheleære	muchel (adj.)
mochelen	muchel (adj.)
mochelure	muchel (adj.)
mochul	muchel (adj.)
mod	mod (n.)
Mod%dræd	Modred (n.)
Mod%dredes	Modred (n.)
moda	mod (n.)
Moddrade	Modred (n.)
Moddræd	Modred (n.)
Moddred	Modred (n.)
Moddrede	Modred (n.)
moddri	moder (n.)
moddrie	moder (n.)
mode	mod (n.)
moden	mod (n.)
moder	moder (n.)
modes	mod (n.)
mod-fulle	modful (adj.)
mod-fulne	modful (adj.)
modi	modi (adj.)
mod-kære	mod-care (n.)
mod-kare	mod-care (n.)
Modræd	Modred (n.)
Modred	Modred (n.)
Modrede	Modred (n.)
Modredes	Modred (n.)
mod-sor?e	mod-sorwe (n.)
mod-sorh?e	mod-sorwe (n.)
moht	moten (v.2)
mohte	mouen (v.3)
Molinus	Molinus (n.)
mon	man (n.)
mon	man (pron. indef.)
moncun	man-kin (n.)
mon-cun	man-kin (n.)
moncunne	man-kin (n.)
mon-cunne	man-kin (n.)
moncunnen	man-kin (n.)
mon-cunnen	man-kin (n.)
moncunnes	man-kin (n.)
monğes	month (n.)
mon-drem	man-drem (n.)
mone	man (n.)
moneğ	month (n.)
Monedæi	Mone-dai (n.)
monen	man (n.)
monen	mon(e (n.1)
mong	among(es (adv.)
mong	among(es (prep.)
moni	mani (adj. & n.)
moniane	mani on (phr.)
monianes	mani on (phr.)
monianne	mani on (phr.)
moniare	mani on (phr.)
monie	mani (adj. & n.)
moniee	mani (adj. & n.)
monie?e	mani (adj. & n.)
monien	mani (adj. & n.)
monienne	mani (adj. & n.)
moni-enne	mani (adj. & n.)
moniennes	mani (adj. & n.)
monies	mani (adj. & n.)
monine	mani (adj. & n.)
mon-kinne	man-kin (n.)
mon-kun	man-kin (n.)
monkunne	man-kin (n.)
mon-kunne	man-kin (n.)
monliche	manli (adj.)
monne	man (n.)
monnen	man (n.)
monnen	menen (v.2)
monnene	man (n.)
monnenen	man (n.)
monnes	man (n.)
mon-qualm	man-qualm (n.)
monraddene	man-reden (n.)
monradene	man-reden (n.)
mon-radene	man-reden (n.)
mon-ræidene	man-reden (n.)
monredne	man-reden (n.)
monschipe	manship(e (n.)
mon-schipe	manship(e (n.)
monscipe	manship(e (n.)
mon-scipe	manship(e (n.)
mon-slæht	man-slaught (n.)
mon-slæhte	man-slaught (n.)
mon-sware	mon-sware (n.)
montaine	montain(e (n.)
mon-ueorde	man-ferde (n.)
mon-uerde	man-ferde (n.)
mon-uerede	man-ferde (n.)
monweorede	man-wered (n.)
mon-weorede	man-wered (n.)
mon-werede	man-wered (n.)
Moraine	Moray (n.)
morğ	morth (n.1)
morğe	morth (n.1)
morğ-gomen	morth-game (n.)
morğ-spelle	morth-spel (n.)
more	mor (n.1)
mor?en-liht	morwe-light (n.)
mor?eue	morwe-yeve (n.)
moren	mor (n.1)
mor?nede	mornen (v.)
mores	mor (n.1)
Morgan	Morgan (n.)
Morganus	Morgan (n.)
mornede	mornen (v.)
Morpidun	Morpidus (n.)
Morpidus	Morpidus (n.)
Mors	Mors (n.)
mor-uenne	morwe (n.)
Moruiğ	Morvith (n.)
Moruit	Mauritania (n.)
most	moten (v.2)
moste	moten (v.2)
mosten	moten (v.2)
mostes	moten (v.2)
mot	moten (v.2)
mote	moten (v.2)
motegen	moten (v.3)
moten	moten (v.2)
motest	moten (v.3)
moting	moting (ger.)
motinge	moting (ger.)
mouchel	muchel (adj.)
muc%chel	muchel (adj.)
muc%chel	muchel (adv.)
muc%chel	muchel (n.)
muc%chelere	muchel (adj.)
muc%chelere	muchel (adv.)
muc%chelere	muchel (n.)
mucchele	muchel (adj.)
mucele	muchel (adj.)
muchæl	muchel (adj.)
Muche	much(e (adj.)
muchel	muchel (adj.)
muchel	muchel (adv.)
muchel	muchel (n.)
muchela	muchel (adj.)
muchele	muchel (adj.)
muchele	muchel (adv.)
muchele	muchel (n.)
muchelen	muchel (adj.)
muchelere	muchel (adj.)
mucheles	mucheles (adv.)
muchelne	muchel (adj.)
muchelre	muchel (adj.)
muchelure	muchel (adj.)
muchen	much(e (adj.)
muchene	much(e (adj.)
muchere	much(e (adj.)
muchul	muchel (adj.)
mucla	muchel (adj.)
mucla	muchel (adv.)
muclan	muchel (adj.)
mucle	muchel (adj.)
muclen	muchel (adj.)
muclen	muchel (n.)
muclere	muchel (adj.)
muğ	mouth (n.)
muğe	mouth (n.)
muğen	mouth (n.)
muğes	mouth (n.)
mu?e	mouen (v.3)
mu?en	moue (n.3)
mu?en	mouen (v.3)
mug%gles	muggle (n.)
muglinges	mugling (n.)
munchene	monk (n.)
mund	mound(e (n.1)
munde	mound(e (n.1)
munden	mound(e (n.1)
munec	monk (n.)
munec-clağen	monk-clothes (n.)
munec-clağes	monk-clothes (n.)
munecclif	monk-lif (n.)
muneccliuen	monk-lif (n.)
munechene	monk (n.)
Muneckes	monk (n.)
munede	mounthe (n.)
mune?ede	mingen (v.)
mune?eden	mingen (v.)
munegie	mingen (v.)
muneken	monk (n.)
Munekes	monk (n.)
munekien	monk (n.)
munestere	minster (n.)
munestre	minster (n.)
Mungiu	Montjoy (n.)
munien	mingen (v.)
munkes	monk (n.)
munster	minster (n.)
munstere	minster (n.)
munstre	minster (n.)
munstres	minster (n.)
Munt	mount (n.1)
munte	mount (n.1)
munten	mount (n.1)
muntes	mount (n.1)
Muntgiu	Montjoy (n.)
Munt-giu	Montjoy (n.)
Munt-giwe	Montjoy (n.)
Muræf	Moray (n.)
Muræine	Moray (n.)
Muræiue	Moray (n.)
Muraine	Moray (n.)
murğde	murthen (v.)
murğe	mirth(e (n.)
murğren	mortheren (v.)
mur?eşe	mirth(e (n.)
murehğe	mirth(e (n.)
Mureine	Moray (n.)
Mureinen	Moray (n.)
Mureiue	Moray (n.)
Murene	Moray (n.)
murgre	miri(e (adj.)
murhğe	mirth(e (n.)
murh?e	mirth(e (n.)
muri	miri(e (adj.)
Muriane	Moray (n.)
murie	miri(e (adj.)
Muriene	Moray (n.)
murne	morne (n.)
murnede	mornen (v.)
murnende	mornen (v.)
murnest	mornen (v.)
must	moten (v.2)
muwen	mouen (v.3)
Myhhel	Mighel (n.)
na	no (adj.)
na	no (adv.)
na	no (conj.1)
Naason	Naason (n.)
nabbe	negative verb - ne haven (v.)
nabben	negative verb - ne haven (v.)
nabbeoğ	negative verb - ne haven (v.)
nabbet	negative verb - ne haven (v.)
nağ%ğing	no-thing (pron.)
Nağeles	no-the-les(se (adv.)
nağing	no-thing (pron.)
næ	no (adj.)
næ	no (conj.1)
næfde	negative verb - ne haven (v.)
næfden	negative verb - ne haven (v.)
næfer	never (adv.)
næh	neigh (adj.)
næh	neigh (adv.)
næh	neigh (prep.)
Næi	nai (interj.)
nælde	negative verb - ne willen (v.1)
nælden	negative verb - ne willen (v.1)
næm	negative verb - ne ben (v.)
næm	nimen (v.)
næmde	nemnen (v.)
næne	no (adj.)
nænes	non (adj.)
nænne	non (adj.)
nær	negative verb - ne ben (v.)
nære	negative verb - ne ben (v.)
nært	negative verb - ne ben (v.)
næs	negative verb - ne ben (v.)
næstieğ	nesten (v.)
næt	negative verb - ne witen (v.1)
næuede	negative verb - ne haven (v.)
næueden	negative verb - ne haven (v.)
næuer	never (adv.)
næuere	never (adv.)
næuere-mare	never-mor(e (adv.)
næuermære	never-mor(e (adv.)
næure	never (adv.)
næxte	next(e (prep.)
nafğ	negative verb - ne haven (v.)
Nafde	negative verb - ne haven (v.)
nah	negative verb - ne ouen (v.)
naht	nought (adv.)
naht	nought (pron.)
nahtes	negative verb - ne ouen (v.)
Nai	nai (interj.)
nailes	nail (n.)
nail-sax	nail-sax (n.)
nakede	naked (n.)
nalde	negative verb - ne willen (v.1)
nalden	negative verb - ne willen (v.1)
naldest	negative verb - ne willen (v.1)
nam	nimen (v.)
na-mare	no-more (adj.)
na-mare	no-more (adv.)
na-mare	no-more (n.)
name	name (n.)
namen	name (n.)
na-more	no-more (adj.)
na-more	no-more (adv.)
na-more	no-more (n.)
nan	non (adv.2)
nan	non (pron.)
nane	non (adj.)
nane	non (pron.)
nanes	non (adj.)
nanne	non (adj.)
Nantes	Nantes (n.)
nap	nap (n.1)
nare	narwe (adv.)
nare	non (adj.)
narewe	narw(e (adj.)
narewe	narwe (adv.)
narwe	narwe (adv.)
nas	negative verb - ne ben (v.)
nast	negative verb - ne witen (v.1)
nat	not (adv.)
naşeles	no-the-les(se (adv.)
na-şeles	no-the-les(se (adv.)
naşing	no-thing (pron.)
na-şing	no-thing (adv.)
na-şing	no-thing (pron.)
nauære	never (adv.)
naue	negative verb - ne haven (v.)
naueğ	negative verb - ne haven (v.)
nauede	negative verb - ne haven (v.)
nauer	never (adv.)
nauere	never (adv.)
nauere-mære	never-mor(e (adv.)
nauere-mare	never-mor(e (adv.)
nauere-more	never-mor(e (adv.)
nauermare	never-mor(e (adv.)
nauer-mare	never-mor(e (adv.)
nauest	negative verb - ne haven (v.)
nauyt	nought (adv.)
nauyt	nought (pron.)
nawer	no-wher (adv.)
nawhit	nought (adv.)
nawhit	nought (pron.)
na-wiğt	nought (adv.)
na-wiğt	nought (pron.)
nawiht	nought (adv.)
nawiht	nought (pron.)
na-wiht	nought (adv.)
na-wiht	nought (pron.)
nawit	nought (adv.)
nawit	nought (pron.)
na-wit	nought (adv.)
na-wit	nought (pron.)
ne	ne (adv.)
ne	ne (conj.1)
nea	no (adv.)
neafde	negative verb - ne haven (v.)
Nearew	narw(e (adj.)
neas	negative verb - ne ben (v.)
neauer	never (adv.)
neauere	never (adv.)
neb	neb (n.)
nebbe	neb (n.)
nebbes	neb (n.)
necke	nekke (n.)
ned	ned(e (n.1)
nedden	neden (v.1)
neğğer	nither (adv.)
nede	neden (v.1)
neğe	unethe (adv. )
Neğelas	no-the-les(se (adv.)
nefde	negative verb - ne haven (v.)
nefden	negative verb - ne haven (v.)
nefdest	negative verb - ne haven (v.)
Nefede	negative verb - ne haven (v.)
neh	neigh (adj.)
neh	neigh (adv.)
neh	neigh (prep.)
neh?e	neigh (adj.)
neh?e	neigh (adv.)
neh?e	neigh (prep.)
neh-læhten	neighlechen (v.)
nehlehte	neighlechen (v.)
neih	neigh (adj.)
neih	neigh (adv.)
neih	neigh (prep.)
nele	negative verb - ne willen (v.1)
nelt	negative verb - ne willen (v.1)
nemneğ	nemnen (v.)
nemnede	nemnen (v.)
nemneden	nemnen (v.)
nemnen	nemnen (v.)
nemni	nemnen (v.)
nen	equiv to heonnen (MED henne adv.)
nene	no (adj.)
nenne	non (adj.)
nenne	non (pron.)
Nennium	Nennius (n.)
Nennius	Nennius (n.)
neo	no (conj.1)
neod	ned(e (n.1)
neodde	ned(e (n.1)
neode	ned(e (n.1)
Neoğeles	no-the-les(se (adv.)
neoğe-les	no-the-les(se (adv.)
neodeliche	ned(e)li (adv.1)
neoden	ned(e (n.1)
neoğer	neither (pron.)
neoğere	nither (adv.)
neoğered	netheren (v.)
neoğereden	netheren (v.)
neodes	ned(e (n.1)
neodliche	ned(e)li (adv.1)
neofer	never (adv.)
neor	ner (adv.2)
neor	ner (prep.)
Neora	negative verb - ne ben (v.)
neore	negative verb - ne ben (v.)
neoren	negative verb - ne ben (v.)
Neorewæi	Nor-wei(e (n.1)
neose	nose (n.1)
neoste	aneweste (adv.)
Neoşelas	no-the-les(se (adv.)
Neoşeles	no-the-les(se (adv.)
neotsume	neotsume (adj.)
neouğer	nither (adv.)
neouere	never (adv.)
neouren	negative verb - ne ben (v.)
neouste	anewest(e (prep.)
neouşer	neither (pron.)
neouuere	never (adv.)
neouwar	no-wher (adv.)
neouwe	neue (n.)
neouwen	neue (n.)
neouwer	no-wher (adv.)
neow-cumene	neue-comen (ppl.)
neowğer	neither (pron.)
neowe	neue (n.)
neowene	neue (n.)
neowenliche	neouenliche (adv.)
neower	no-wher (adv.)
neowhær	no-wher (adv.)
ner	ner (adv.1)
nere	negative verb - ne ben (v.)
Nert	negative verb - ne ben (v.)
Nes	negative verb - ne ben (v.)
Nest	Nest (n.)
Netan	Netan (n.)
nete	net (n.2)
Neton	Neton (n.)
nettes	net (n.1)
neuær	never (adv.)
neuede	negative verb - ne haven (v.)
neuer	never (adv.)
neuere	never (adv.)
neuere-mære	never-mor(e (adv.)
neuere-mare	never-mor(e (adv.)
neuer-mare	never-mor(e (adv.)
Neustrie	Neustria (n.)
Newe	neue (n.)
neweste	neue (n.)
next	next(e (prep.)
nexta	next(e (adj.)
nexte	next(e (adj.)
nexte	nexte (n.)
nexten	next(e (adj.)
nid	mid (prep.1)
niğ-craften	nith-craft (n.)
niğer	nither (adv.)
niğfulne	nithful (adj.)
Niğing	nithing (n.)
niğinges	nithing (n.)
ni?e	nin (num.)
Ni?en	nin (num.)
ni?ene	nin (num.)
ni?entene	ninten(e (num.)
nieh	neigh (adj.)
nieh	neigh (adv.)
nieh	neigh (prep.)
ni?t	night (n.)
nih	neigh (adj.)
nih	neigh (adv.)
nih	neigh (prep.)
nihen	nin (num.)
niht	night (n.)
niht%ten	night (n.)
niht%tes	night (n.)
nihte	night (n.)
nihten	night (n.)
nihtes	night (n.)
niht-longes	nightlonge (adv.)
nikeres	niker (n.)
nim	nimen (v.)
nime	nimen (v.)
nimeğ	nimen (v.)
nimen	nimen (v.)
nimene	nimen (v.)
nipen	nipen (v.)
Nis	negative verb - ne ben (v.)
nith	night (n.)
niwe	neue (n.)
no	no (adv.)
no	no (conj.1)
noğelas	no-the-les(se (adv.)
Noğeles	no-the-les(se (adv.)
Noe	Noe (n.)
Noes	Noe (n.)
noht	nought (adv.)
noht	nought (pron.)
nohte	nought (adv.)
nohte	nought (pron.)
nohtes	noughtes (pron.)
nohwhar	no-wher (adv.)
nold	negative verb - ne willen (v.1)
nolde	negative verb - ne willen (v.1)
nolden	negative verb - ne willen (v.1)
noldest	negative verb - ne willen (v.1)
nolle	negative verb - ne willen (v.1)
nom	nimen (v.)
noma	name (n.)
nome	name (n.)
nome	nimen (v.)
nomen	name (n.)
nomen	nimen (v.)
non	non (adj.)
non	non (n.)
non	non (pron.)
none	non (adj.)
none	non (n.)
nonne	non (adj.)
norğ	north (adj.)
norğ	north (n.)
norğe	north (adj.)
norğe	north (n.)
norğen	north (adj.)
norğen	north (n.)
norğerne	northern(e (adj.)
Norğ-humberlond	North-humbre-lond (n.)
Norğhumberlonde	North-humbre-lond (n.)
Norğ-humberlonde	North-humbre-lond (n.)
Norğ-humber-londe	North-humbre-lond (n.)
Norğ-humbre	North-humbre (n.)
Norğ-humbre-londe	North-humbre-lond (n.)
Norğ-humbren	North-humbre (n.)
norğur	norther (adj. & adv.)
Noreine	Norrene (n.)
Noreinisce	Norenish (adj. & n.)
Norene	Norrene (n.)
Norenisce	Norenish (adj. & n.)
Norenissce	Norenish (adj. & n.)
Norewæi?e	Nor-wei(e (n.1)
Norewaie?e	Nor-wei(e (n.1)
Noreweie	Nor-wei(e (n.1)
Norh	north (adj.)
Norh	north (n.)
Norhhumber-lond	North-humbre-lond (n.)
Norh-humber-lond	North-humbre-lond (n.)
Norh-humberlonde	North-humbre-lond (n.)
Norh-humberlonden	North-humbre-lond (n.)
Norhhumbre	North-humbre (n.)
Norhweie	Nor-wei(e (n.1)
Normandie	Normandi(e (n. & adj.)
Normans	Nor-man (n.)
Nornisce	Norenish (adj. & n.)
Norrene	Norrene (n.)
norşerne	northern(e (adj.)
Norwæ?e	Nor-wei(e (n.1)
Norwæ?en	Nor-wei(e (n.1)
Norwæi?e	Nor-wei(e (n.1)
Norwæye	Nor-wei(e (n.1)
Norwe?e	Nor-wei(e (n.1)
Norwei?e	Nor-wei(e (n.1)
Norwei?en	Nor-wei(e (n.1)
Norweien	Nor-wei(e (n.1)
Norweine	Nor-wei(e (n.1)
Norweo?en	Nor-wei(e (n.1)
Noşelas	no-the-les(se (adv.)
noşeles	no-the-les(se (adv.)
Noşe-les	no-the-les(se (adv.)
noşer	neither (pron.)
nou	nou (adv.)
nouğer	neither (pron.)
nouşe	nou (adv.)
nouşer	neither (pron.)
nowhær	no-wher (adv.)
nowhar	no-wher (adv.)
no-whar	no-wher (adv.)
nowher	no-wher (adv.)
nowhit	nought (adv.)
nowhit	nought (pron.)
nowiht	nought (adv.)
nowiht	nought (pron.)
no-wiht	nought (adv.)
no-wiht	nought (pron.)
nowit	nought (adv.)
nowit	nought (pron.)
Nu	nou (adv.)
Nubie	Nubia (n.)
nuğe	nou (adv.)
nulde	negative verb - ne willen (v.1)
nulden	negative verb - ne willen (v.1)
Nule	negative verb - ne willen (v.1)
Nulle	negative verb - ne willen (v.1)
nulleğ	negative verb - ne willen (v.1)
nult	negative verb - ne willen (v.1)
Numbert	Numbert (n.)
nunne	nonne (n.)
nunnen	nonne (n.)
nuste	negative verb - ne witen (v.1)
nusten	negative verb - ne witen (v.1)
nut	nit (adj.)
Nute	negative verb - ne witen (v.1)
nuten	negative verb - ne witen (v.1)
nutene	net (n.2)
nute-scalen	note-shale (n.)
nuşe	nou (adv.)
nuttes	nutte (n.)
Nv	nou (adv.)
o	o (interj.)
o	o (prep.2)
oağ	oth (n.)
